Eaton,stop shipments to Russia; maintains services,Industrials,United States
Eimskip,reduced operation in Russia,Industrials,Iceland
Elanco,scale back to critical products to ensure food security,Health Care,United States
Elsevier,suspended all sales except essential health products,Communication Services,Netherlands
Eni,suspend stipulation of new oil contracts; divest from investmens for rubles,Energy,Italy
Epic Games,stop in-game commerce for Russia,Consumer Discretionary,United States
Esri,curtail sales to Russia; no information about Russian office,Information Technology,United Kingdom
Ferrero,suspend non-essential business activity,Consumer Staples,Italy
Fieldfisher,terminate certain Russian relationships,Industrials,United Kingdom
FIGMA,continue current business & stop all new sales efforts in Russia,Information Technology,United States
Fortive,suspend most operations except medical essentials,Industrials,United States
Gap Inc,online sales running; stopped shipments to franchisees in Russia,Consumer Discretionary,United States
Garmin,stop all future trade with Russia; still provide GPS services to devices in Russia (incl. Russian military),Consumer Discretionary,United States
GE,stopped sales in Russia and Belarus except medical equipment and support for electric power generation and transmission,Industrials,United States
General Mills,suspended sales of global brands in its JV,Consumer Staples,United States
Geodis,suspend services in Russia & reduce shipments to and from Russia significantly,Industrials,France
Georg Fischer,temporary suspension of deliveries to Russia,Industrials,Switzerland
Goldman Sachs,wind down business in Russia but buy Russian debt,Financials,United States
Groupe BPCE,suspend many transactions and cease new financing,Financials,France
Halliburton,suspend future business in Russia and wind down certain contracts,Energy,United States
Hellenic Bottling Company,vaguely suspend some operations in Russia,Consumer Staples,Greece
Herbalife,suspend sales and shipments to Russia but independent sellers remain operational,Consumer Staples,United States
HILTI,limiting sales and workforce in Russia,Industrials,Liechtenstein
Hostinger,stop accepting payments for new purchases and renewals,Information Technology,Lithuania
Idemitsu Kosan,stop coal imports; lubricants business unchanged,Energy,Japan
Indesit,"suspend production due to ""full warehouses""",Consumer Discretionary,Italy
IndusInd Bank,can no longer clear rupee rouble conversions,Financials,India
Ingersoll Rand,scale back to only health critical services,Industrials,United States
Ingka,"stop all exports, IKEA production; keep open retail centers (Mega)",Consumer Discretionary,Netherlands
"Inspire Brands (Dunkin' Donuts, Baskin Robins)",halt corporate support for franchisees,Consumer Discretionary,United States
International Biathlon Union,Russians to compete as neutral athletes,NGO,Austria
IPG Photonics,suspend new investments and reduce manufacturing in Russia,Information Technology,United States
Iskratel,paused some business with Russia,Communication Services,Slovenia
Iveco,suspend deliveries to Russia; truck JV still in operations,Industrials,Italy
J&T Finance Group,curb its activities in Russia,Financials,Slovakia
Jägermeister,paused business with Russia & Belarus and discontinue marketing; no information about,Consumer Staples,Germany
JPMorgan,wind down business in Russia but buy Russian debt,Financials,United States
Julius Baer,"wind down Russian office, suspend new business in Russia, reduce current exposure; retain current Russian clients",Financials,Switzerland
Kearney,suspend new work with Russian clients,Industrials,United States
Kellogg,suspend new investments except essentials (minor),Consumer Staples,United States
Kotak Mahindra,paused transaction through cards in Russia,Financials,India
Kuehne + Nagel AG,"suspend all shipments to Russia (except Pharma, healthcare and humanitarian supplies)",Industrials,Switzerland
Legal & General,reduce exposure,Financials,United Kingdom
Linde,divest certain industrial assets and suspend new development/investments,Materials,Germany
Lotos,stopped purchasing Russian spot oil,Energy,Poland
Loyalty Ventures,scale back most services and stop new sales,Consumer Discretionary,United States
Luxottica,restrict Russian operations to medical services,Consumer Discretionary,Italy
LyondellBasell,end all business with state-controlled entities,Materials,Netherlands
Mars,scale back business and stopped advertising/new investments/exports in Russia,Consumer Staples,United States
Marubeni,scaling down but still in numerous projects across Russia,Industrials,Japan
Maruti Suzuki,suspend car exports,Consumer Discretionary,India
Mashreqbank,halt loans to Russia,Financials,United Arab Emirates
Microsoft,suspend new sales in Russia but continue existing access,Information Technology,United States
Miele,suspend operations except exempt healthcare,Consumer Discretionary,Germany
Milliken & Co,still operating in Russia,Materials,United States
Miro,close office in Moscow & pause new sales,Information Technology,Netherlands
Mitsubishi UFJ Financial Group,Japanese expats working for MUFG Bank (Eurasia) have moved out of Russia to work outside of the country on a temporary basis,Financials,Japan
Moody's,suspend commercial operations within Russia,Financials,United States
Nalco Water (Ecolab),suspended services except services critical to health,Industrials,United States
Natura,suspend some subsidiary operations but not all,Consumer Staples,United States
Nemetschek Group,suspend any new business in Russia & all business with sanctioned entities,Information Technology,Germany
NielsenIQ,suspend consulting service but not core business,Industrials,United States
Nokian Tyres,meaningfully reduce production in Russia,Consumer Discretionary,Finland
Nordea Bank,stop processing payments to and from Russia & Belarus,Financials,Finland
Norsk Hydro,"reduced deliveries and supplies to the contractual minimum for some commitments, and is suspending deliveries and supply in several contracts",Materials,Norway
Okta,halt new sales to Russia but continue supporting current customers,Information Technology,United States
Oriflame Cosmetics,suspend online sales to end consumers but not others,Consumer Staples,Switzerland
Orion,stop exports to Russia,Health Care,Finland
Orsted,"end coal and biomass purchases, refuse to pay for gas in roubles",Utilities,Denmark
Otis Worldwide,exploring options for exit; while no new investments/new contracts but fulfill existing agreements,Industrials,United States
OTP Bank,wind down corporate lending,Financials,Hungary
Paul Wurth,"stopped new business, closed sites, and scaled back serviceds",Industrials,Luxembourg
Pepsi,suspend operations in Russia except essentials,Consumer Staples,United States
Phibro Animal Health Corp,curtail some operations (i.e. ethanol) and substantial sales hit,Health Care,United States
Philip Morris,"explore strategic alternatives, while stop new investments including $150MM, paused marketing, canceled product launches",Consumer Staples,United States
Pirelli,suspend new investments in Russia and scale back production,Consumer Discretionary,Italy
PKN Orlen SA,"stopped maritime oil shipments, diversifying supply",Energy,Poland
Playtika,temporarily block new downloads games in Russia,Information Technology,Israel
PPG,scale back majority of operations and suspend new investments in Russia,Materials,United States
Rational,suspend deliveries to Russia but retain operations inside Russia,Consumer Discretionary,Germany
Rosenbauer,no new business; continue servicing fire engine pumps in Russian JV,Industrials,Austria
Royal DSM,stopped all operations in Russia other than basic food/feed/essential health activities,Materials,Netherlands
Sabre,suspend certain partnerships with Aeroflot,Information Technology,United States
Saint-Gobain,suspend exports and imports but not local operations,Industrials,France
SAP,stop all sales to Russia and shut down cloud operations but some carveouts,Information Technology,Germany
SBI,stopped processing transactions of sanctioned Russian entities,Financials,India
Schaeffler,stop deliveries to Russia; continue manufacturing in Russia,Industrials,Germany
Scopely,suspend marketing and commerce,Communication Services,United States
Shutterstock,not accept new contributors from Russia; continue current businesses & still offer services to Russia,Communication Services,United States
SHV,"suspend new investments, new projects, new exports; continue to work with suppliers and customers in Russia",Energy,Netherlands
Signet Jewelers,suspend business interaction with Russian-owned entities; no information about other Russian customers,Consumer Discretionary,United States
Sinopec,suspend $500MM new investment and significant operations and partnerships,Energy,China
Skadden,suspend certain operations in Russia but not all,Industrials,United States
Skandinaviska Enskilda Banken,scaling down operations in Russia,Financials,Sweden
Sketchers,suspended shipments to Russia but online sales continue,Consumer Discretionary,United States
Spotify,"closed office and suspend service but still allow Kremlin-associated artists (e.g. Gazmanov, Gagarina)",Communication Services,Sweden
Tchibo,suspend coffee deliveries but not other lines,Consumer Staples,Germany
Tennant,substantially suspending sales to Russia,Industrials,United States
Terex Corporation,stop accepting new orders from continuing dealer network in Russia,Industrials,United States
Tetra Pak,stopped new investments and scaled down activities,Industrials,Sweden
ThyssenKrupp,Stopped new business and investments. Closed plant,Materials,Germany
Tikkurila,reduce Russian operations; stop sales to aerospace; consider exiting Russia,Materials,Finland
Tokio Marine,suspend new contracts and repatriate employees,Financials,Japan
TomTom,"turn off live traffic for Russia, cut ties with several Russian customers, some customers are still under review",Information Technology,Netherlands
Total Energies,no longer will provide capital for new projects in Russia/stop purchasing Russian oil; withdraw from Acrtic LNG 2 project,Energy,France
Toyota,stop production at its St. Petersburg plant and stop imports of vehicles; no statement about retail operations and services inside Russia,Consumer Discretionary,Japan
Trafigura,freeze investments and stop purchasing crude oil from Rosneft; maintain shareholding in Russia,Energy,Singapore
Triglav Group,not renewing or entering into new business,Financials,Slovenia
Tungsram,stopped producing products and projects,Utilities,Hungary
U.S. Polo Assn.,stopped all shipments of goods into Russia and shut down all branded digital operations but phased approach to closing physical stores,Consumer Discretionary,United States
UBS,suspend new business in Russia and reduce current exposure by helping clients unwind Russia securities; reducing Russian client services,Financials,Switzerland
Uniper SE,suspend new Russian gas purchases/divest Unipro,Utilities,Germany
Vaillant Group,stop delivering appliances; no statement about work inside Russia,Industrials,Germany
Valentino,suspend online sales; no information about on-site sales,Consumer Discretionary,Italy
Vattenfall,shifting energy purchases away from Russia,Utilities,Sweden
Wartsila,suspend all deliveries and new sales to Russia; continue ongoing projects,Industrials,Finland
Westinghouse Air Brake Technologies Corp,stopped sales to Russia,Industrials,United States
Whirlpool,limiting production in Russia,Consumer Discretionary,United States
Wilo,stop shipments to and from Russia; no comment about production in Russia,Industrials,Germany
Wolters Kluwer,scale back to just health products in Russia,Financials,Netherlands
Yum Brands,suspend operations of company-owned restaurants and new investments in Russia,Consumer Discretionary,United States
ZF Friedrichshafen,stop all deliveries to Russia; maintain JVs,Consumer Discretionary,Germany
Zoetis,suspend investments & focus on supply of medicines and vaccines,Health Care,United States
Suspension,,,
Keeping Options Open for Return (497 Companies) (Grade: B),,,
Companies temporarily curtailing most or nearly all operations while keeping return options open...,,,
Name,Action,Industry,Country
3M,suspend operations in Russia,Industrials,United States
AAK,halted delivery and sales,Consumer Staples,Sweden
Abrdn,suspend investments in Russia and reduce exposure,Financials,United Kingdom
ACCA,suspend operations in Russia and Belarus,Industrials,United Kingdom
Acer,suspend its business in Russia,Information Technology,Taiwan
Acne Studios,put all Russian activities on hold,Consumer Discretionary,Sweden
Adamed,halt sales and production in Russia,Health Care,Poland
Adidas,suspend operations in Russia,Consumer Discretionary,Germany
ADP,suspend sales/services to Russia,Information Technology,United States
AICPA,suspend sale and delivery of services indefinitely,Industrials,United States
Air Astana,suspend flights to Russia,Industrials,Kazakhstan
Air France,halt flight to and from Russia,Industrials,France
Air Malta,suspend all flights to and from Russia,Industrials,Malta
Airbnb,block bookings and block accepting guests in Russia,Consumer Discretionary,United States
Akamai,suspend sales in Russia,Information Technology,United States
Akin Gump,suspend operations in Russia,Industrials,United States
AL-KO Vehicle Technology,suspend deliveries to Russia and Belarus,Consumer Discretionary,Germany
Alaska Airlines,temporarily suspend partnership with Russian airline,Industrials,United States
Alimentation Couche-Tard,suspend operations,Consumer Staples,Canada
Alstom,suspend shipments to Russia,Industrials,France
AM Best,suspend all commercial activities to Russian clients,Information Technology,United States
Amazon,suspend operations in Russia,Consumer Discretionary,United States
Ambarella,suspend shipments into Russia,Information Technology,United States
AMD,suspend all sales to Russia,Information Technology,United States
Amdocs,stop all new sales of product and services in Russia,Information Technology,United States
Amer Sports,suspend all commercial activities in Russia,Consumer Discretionary,Finland
American Airlines,pause agreements with Russian airlines,Industrials,United States
American Express,suspend operations in Russia,Financials,United States
Amica,suspended Russian exports,Consumer Discretionary,Poland
Amway,suspend operations in Russia,Consumer Staples,United States
Analog Devices,suspend sales to Russia according to sanctions,Information Technology,United States
Ansys,suspend all sales and business activity,Information Technology,United States
Aon PLC,suspend operations in Russia,Financials,United Kingdom
Apple,suspend all official site sales; turn off select apps and services,Information Technology,United States
Arla,suspends all operations,Consumer Staples,Denmark
ARM,suspend shipments according to sanctions,Information Technology,United Kingdom
Asian Infrastructure Investment Bank,curtail Russian access to capital markets,Financials,China
Asos,suspend all shipments to Russia,Consumer Discretionary,United Kingdom
Association of International Certified Professional Accountants,indefinite suspension of services within Russia,Industrials,United States
Aston Martin,suspend all shipments to Russia,Consumer Discretionary,United Kingdom
Asus,suspend shipments to Russia,Information Technology,Taiwan
Atlas Copco,suspend deliveries in Russia,Industrials,Sweden
Atlassian,suspend software sales to Russia,Information Technology,Australia
Audi,suspend operations at Kaluga assembly plant,Consumer Discretionary,Germany
Austrian Airlines,cancel Russian flights until July,Industrials,Austria
Authentic Brands Group - Reebok,successfully completed suspension of all operations,Consumer Discretionary,United States
Autodesk,suspend operations in Russia,Information Technology,United States
Avast,suspend all operations in Russia,Information Technology,Czech Republic
AXA,stop underwriting new insurance & stop renewals,Financials,France
AXA Investments Managers,pause investments & prohibit new subscriptions,Financials,France
Azerbaijan Airlines,suspend flights to Russia,Industrials,Azerbaijan
B Lab,suspend Russian companies from obtaining certifications,NGO,United States
Badminton World Federation,cancel all tournaments,NGO,Malaysia
Bain,suspend consulting for all Russian businesses,Industrials,United States
Baker Hughes,no longer provide engineering services to Russian LNG developers,Energy,United States
Bang & Olufsen,suspended deliveries and sales to Russia,Information Technology,Denmark
Bank of China,curtail Russian access to capital markets,Financials,China
BCG,suspend operations; Moscow office open,Industrials,United States
Bentley,suspend all shipments to Russia,Consumer Discretionary,United States
Bentley Systems,pause sales to Russia & Belarus,Information Technology,United States
Big Fish Games,suspend downloadable game business in Russia,Communication Services,United States
Bitdefender,suspend all sales to Russia,Information Technology,Romania
BlackBerry,cease all activities in Russia,Information Technology,Canada
BMC,suspend all business with Russia & Belarus,Information Technology,United States
BMW,suspend exports to and production in Russia,Consumer Discretionary,Germany
BNP Paribas,suspend new business in Russia/curtail financing,Financials,France
Boeing,suspend operations in Russia/titanium purchases,Industrials,United States
Bombardier,restrict Russian business,Industrials,Canada
Boohoo Group,suspend all shipments to Russia,Consumer Discretionary,United Kingdom
Booking,suspend bookings in Russia,Consumer Discretionary,United States
Boosteroid Cloud Gaming,suspend services to Russia,Information Technology,United Arab Emirates
Boryszew,suspended operations in Russia,Materials,Poland
Brav,suspend sales and operations in Russia,Consumer Discretionary,Norway
Bridgestone Tire,suspend manufacturing in Russia and shipments into,Consumer Discretionary,Japan
British Airways,cancel Russian flights,Industrials,United Kingdom
Brown-Forman,suspend commercial operations in Russia,Consumer Staples,United States
BUDVAR Centrum Sp. z.o.o.,,Industrials,Poland
Budweiser Budvar,suspends production and supply of beer,Consumer Staples,Czech Republic
Bulgaria Air,suspend flights to Russia,Industrials,Bulgaria
Bulgarian Postbank,stop operations in Russian ruble,Financials,Bulgaria
bunq.com,suspend SWIFT transfers to sanctioned banks,Financials,Netherlands
Burberry,suspend all shipments to Russia,Consumer Discretionary,United Kingdom
Burger King (Restaurant Brands),halt corporate support for franchises,Consumer Staples,United States
Buta Airways,suspend flights to Russia,Industrials,Azerbaijan
Canada Goose,suspend all shipments to Russia,Consumer Discretionary,Canada
Canadian Tire,close Russia stores,Consumer Discretionary,Canada
Canon,suspend deliveries in Russia,Information Technology,Japan
Canonical,suspend support & professional services,Information Technology,United Kingdom
Capgemini,stop services to Russia,Information Technology,France
Cargolux,suspend all shipments into and through Russia,Industrials,Luxembourg
Cargotec,stop all sales to Russia & Belarus,Industrials,Finland
CBRE,discontinue Russian business,Real Estate,United States
CCC,"suspends operations in Russia (delivery to Russia, further expansion)",Consumer Discretionary,Poland
CD Projekt,suspends sales of products in Russia & Belarus,Communication Services,Poland
CERN,suspend Russia's obeserver status; halt new collaborations,NGO,Switzerland
Chanel,suspend all operations in Russia,Consumer Discretionary,France
Chevron,"Pausing all transactions and sales of refining products, lubricants, and chemicals",Energy,United States
Chipperfield,suspend operations in Russia,Industrials,United Kingdom
Cie Automotives,temporarily shut down aluminum plant,Consumer Discretionary,Spain
Ciena,suspend business operations in Russia,Communication Services,United States
Citi,expand the scope of the exit process,Financials,United States
Citrix,suspend all sales to Russia,Information Technology,United States
Cleary Gottlieb,suspend Russian operations,Industrials,United States
Clorox,suspend business activity in Russia,Consumer Staples,United States
Clutch,suspend all business activity,Industrials,United States
CMA CGM,suspend all shipments to Russia,Industrials,France
CME Group,suspend acceptance of certain Russian commodities,Financials,United States
CNH Industrial,suspend sales to Russia,Industrials,United Kingdom
Cogent Communications,cut all internet to Russia,Communication Services,United States
Columbia Sportswear,pause taking any new orders from Russian distributor & remove future sales,Consumer Discretionary,United States
Commerzbank,suspend operations in Russia,Financials,Germany
Conde Nast,suspend all publishing operations,Communication Services,United States
Conformis,suspend distribution operations in Russia,Health Care,United States
Costco,stopped purchases from Russia,Consumer Discretionary,United States
Coupa,suspend operations in Russia,Information Technology,United States
Coursera,platform available; refrain from financial benefits from the region; suspend some content,Consumer Discretionary,United States
Credit Agricole,suspend all services in Russia,Financials,France
Crocs,suspend D2C business,Consumer Discretionary,United States
Curve,no longer allow Russian payment cards & transaction in RUB,Financials,United Kingdom
Cyprus Airways,suspend flights to Russia,Industrials,Cyprus
d&b audiotechnik,suspend all shipments to Russia,Consumer Discretionary,Germany
DACHSER,suspend deliveries to Russia,Industrials,Germany
Daimler Truck,freeze activities in Russia,Consumer Discretionary,Germany
Damen,"stop supplying ships to Russia, halt new contracts",Industrials,Netherlands
Danaher,suspended shipments to Russia except for humanitarian medical products,Health Care,United States
Dassault Aviation,suspend all shipments to Russia,Industrials,France
Dassault Systèmes,suspend business operations in Russia,Information Technology,France
Debevoise & Plimpton,Wind down Russia operations; local partners and counsel open Russian business,Industrials,United States
Decathlon,suspend the operation of its stores in Russia,Consumer Discretionary,France
Deckers,suspend business in Russia,Consumer Discretionary,United States
Dell,suspend all shipments to Russia,Information Technology,United States
Demant,suspend all trade with Russia,Health Care,Denmark
Denso,suspend all shipments into Russia,Consumer Discretionary,Japan
Depositphotos,stop all sales and services to Russia,Consumer Discretionary,Ukraine
DHL,suspend all shipments to Russia,Industrials,Germany
Diadora,suspend contracts with Russian commercial partners,Consumer Discretionary,Italy
Diageo,suspend all shipments to Russia,Consumer Staples,United Kingdom
Diebold Nixdorf,suspend shipments and sales of any kind into Russia.,Information Technology,United States
DirecTV,cut Kremlin backed TV networks,Communication Services,United States
Discover,suspend efforts to establish Russian presence,Communication Services,United States
Disney,pause new content releases,Communication Services,United States
DJI,stop selling drones in Russia,Information Technology,China
DKV Mobility,stop all activity for Russian domestic business,Information Technology,Germany
Dreamstime,restrict download plans and payments for Russian customers,Communication Services,United States
DSV A/S,suspend all shipments to Russia,Industrials,Denmark
DuPont,suspend operations in Russia and Belarus,Materials,United States
eBay,suspend all shipments to Russia,Consumer Discretionary,United States
EDF,suspend Moscow office,Utilities,France
eDreams ODIGEO,cease all operations involving Russia,Consumer Discretionary,Spain
Edrington,suspend all shipments to Russia,Consumer Staples,United Kingdom
Egon Zehnder,stop operations in Russia,Industrials,United States
Electrolux,suspending all shipments into Russia,Consumer Discretionary,Sweden
Elopak,suspends all activities,Materials,Norway
Embraer,suspend supplying parts and services to Russia,Industrials,Brazil
Epiroc,pause all deliveries to Russia and no operations domestically,Consumer Staples,Sweden
Eppendorf SE,suspend exports to Russia; keep rep office open,Health Care,Germany
Epson,suspend exports to Russia & Belarus,Consumer Discretionary,Japan
Equinix,suspend Russian partnerships and customers,Real Estate,United States
Ericsson,suspend all shipments to Russia,Information Technology,Sweden
ESET,suspend all sales to Russia,Information Technology,Slovakia
Estee Lauder,suspend operations in Russia,Consumer Staples,United States
European University Association,cease cooperation with governmental agencies in Russia,NGO,Belgium
Exiger,halting all activity and due diligence in Russia,Industrials,United States
Exor,holding company's assets are suspending operations,Financials,Netherlands
Famur,suspend Russian exports,Industrials,Poland
Farfetch,suspend all shipments to Russia,Consumer Discretionary,United Kingdom
FedEx,suspend all shipments to Russia,Industrials,United States
Ferragamo,suspend all shipments to Russia,Consumer Discretionary,Italy
Ferrari,suspend sales in Russia,Consumer Discretionary,Italy
FIBA,ban Russian teams and officials from participating in basketball events,NGO,Switzerland
FIDE,suspend Russian & Belarussian teams from participation in tournaments,NGO,Switzerland
FIFA,ban Russian athletes from competing,Industrials,Switzerland
Finnlines,suspend all traffic to Russia,Industrials,Finland
Fitch,suspend operations in Russia,Financials,United States
Fiverr,suspend business,Consumer Discretionary,Israel
Ford,suspend joint ventures in Russia,Consumer Discretionary,United States
Forest Stewardship Council (FSC),suspend all trading certificates in Russia & Belarus and block all controlled wood sourcing from the two countries,NGO,Germany
Fortinet,suspend operations in Russia,Information Technology,United States
Foster + Partners,stop work on projects in Russia,Industrials,United Kingdom
Fugro,suspend all projects in Russia,Industrials,Netherlands
Fujitsu,cease orders and shipments to Russia,Information Technology,Japan
Galp,suspend Russian oil-product purchases; eliminate Russian exposure,Energy,Portugal
Ganni,freeze all trade with Russia,Consumer Discretionary,Denmark
Geberit,discontinue all operations in Russia but continue to pay employees,Industrials,Switzerland
Gestamp,stopped production,Consumer Discretionary,Spain
GetYourGuide,suspend all Russian operations,Consumer Discretionary,Switzerland
GM,suspend all shipments to Russia,Consumer Discretionary,United States
Goodyear,suspend shipments of tires to Russia,Consumer Discretionary,United States
Grainpro,suspend all operations in Russia,Materials,United States
Grammarly,block users located in Russia and Belarus from using products or services,Information Technology,United States
Graphisoft,"suspended new activities, disabled access to our commercial services in Russia",Information Technology,Hungary
Grundfos,suspend all operations and sales in Russia,Industrials,Denmark
Grupa Azoty,stopped exporting its products to Russia or Belarus,Materials,Poland
Grupo Antolín,suspend operations in Russia,Consumer Discretionary,Spain
Grupo Bimbo,"Suspended distribution of the Bimbo Brand at retail, but left Moscow Bimbo QSR plant operating for food service products",Consumer Staples,Mexico
H&M,suspend all shipments to Russia,Consumer Discretionary,Sweden
Hannover Re,halt underwriting business,Financials,Germany
Hapag Lloyd,suspend all shipments to Russia,Industrials,Germany
HARIBO,suspend production to Russia,Consumer Staples,Germany
Harley-Davidson,suspending all business in Russia,Consumer Discretionary,United States
Hasbro,pause toy shipments o Russia,Consumer Discretionary,United States
Hermes,suspend all operations in Russia,Consumer Discretionary,France
Herzog & de Meuron,suspend work on Russian projects,Industrials,Switzerland
Hexagon,freeze all business activities,Information Technology,Sweden
HHLA,suspend entry of Russian shipments at owned ports,Financials,Germany
Hitachi Construction,suspend all shipments to Russia,Industrials,Japan
HMM,suspend all shipments to Russia,Industrials,South Korea
Honda,suspend all shipments to Russia,Consumer Discretionary,Japan
Honey Group,suspend sales to Russia,Consumer Staples,Finland
Honeywell,suspend virtually all sales in Russia,Industrials,United States
Hugo Boss,temporarily close stores and e-commerce sites,Consumer Discretionary,Germany
Hunkemoller,suspend operations of on-site and online stores,Consumer Discretionary,Netherlands
Husqvarna,stop exports to Russia & halt investments,Consumer Discretionary,Sweden
Hyundai,suspend manufacturing in Russia,Consumer Discretionary,South Korea
Iberia,canceling flights to Russia,Industrials,Spain
ICBC,curtail Russian access to capital markets,Financials,China
Icecat,suspends activities for the Russian market,Industrials,Netherlands
Illinois Tool Works,suspension of sales to Russia,Industrials,United States
Indeed,suspend service in Russia,Information Technology,United States
Inditex,close Russian stores and suspend sales,Consumer Discretionary,Spain
Infineon,suspend exports,Information Technology,Germany
Institute of Internal Auditors,suspend business in Russia,Industrials,United States
Intel,suspend sales to Russia,Information Technology,United States
Interactive Advertising Bureau,suspend licensing in Russia and Belearus,Industrials,United States
Intercomm Foods,Stopping shipments to Russia,Consumer Staples,Greece
International Canoe Federation,suspend Russian athletes & relocate Russian events,NGO,Switzerland
International Federation of Sport Climbing,suspend Russian teams from participation; supend Russian events,NGO,Italy
International Paralympic Committee,bar Russian atheletes,NGO,Germany
International Tennis Federation,suspend Russian partnerships,NGO,United Kingdom
Intertek,suspend operations,Industrials,United States
Intuit,suspend customer accounts,Information Technology,United States
Jablotron,halts sales and blocks data services to products assempled in Russia,Consumer Discretionary,Czech Republic
JCB,suspend operations in Russia,Financials,Japan
JCB,pause business in Russia,Industrials,United Kingdom
JD Sports,suspend operations in Russia,Consumer Discretionary,United Kingdom
Johnson Controls,suspend operations in Russia,Industrials,Ireland
Julipedra,suspended exports to Russia,Materials,Portugal
Jungheinrich,keep Russia office; stop exports to Russia,Industrials,Germany
Juniper Networks,suspend sales in Russia,Information Technology,United States
JYSK,temporarily close Russian stores,Consumer Discretionary,Denmark
Kärcher,suspend exports to Russia & halt investments,Consumer Discretionary,Germany
KBC Group,suspend transactions with certain Russian banks,Financials,Belgium
Kepenou Mills,stop wheat orders from Russia,Consumer Staples,Greece
Kering,close all stores in Russia,Consumer Discretionary,France
Kerry Group,suspending operations,Consumer Staples,Ireland
Kesko,stop sales to Russia and imports from Russia,Consumer Staples,Finland
KGHM,"suspended Russian contracts, subsidiary ZANAM Vostok in Russia",Materials,Poland
Kingston,suspend shipments to Russia,Information Technology,United States
KLM,cancel flights to and from Russia,Industrials,Netherlands
Knight Frank,suspend substantive operations in Russia,Real Estate,United Kingdom
Kodak Alaris,suspend all business activity into Russia & Belarus,Information Technology,United Kingdom
Komatsu,suspend all shipments to Russia,Industrials,Japan
KONE,suspend deliveries to Russia & stop new Russian orders,Industrials,Finland
Konecranes,stop all orders from Russia,Industrials,Finland
Konica Minolta,new shipments suspended,Consumer Discretionary,Japan
Körber,suspend new business with Russia,Industrials,Germany
Korean Air Lines,no flying over Russian airspace; Russian flights cancelled,Industrials,South Korea
Korn Ferry,suspend business in Russia,Industrials,United States
Krombacher,stopped exports to Russia,Consumer Staples,Germany
KUKA,suspend all business with Russia,Industrials,Germany
Kurokesu,suspend shippments to Russia,Consumer Discretionary,Lithuania
Kyocera,suspend deliveries of all devices to Russia,Information Technology,Japan
L'Oreal,suspend operations in Russia,Consumer Discretionary,France
La Lorraine,halt its 50mn euro investment in Moscow,Consumer Staples,Belgium
Lanxess,suspend business activities with Russia,Materials,Germany
LCBO,suspend Russian-produced products,Consumer Staples,Canada
Lego,suspend all shipments to Russia,Consumer Discretionary,Denmark
Leica Camera AG,suspend operations in Russia,Information Technology,Germany
Leonardo,pause all JVs in Russia; helicopter production,Industrials,Italy
Les Ballets de Monte-Carlo,suspend performance rights for his ballet,Consumer Discretionary,Monaco
Levi Strauss,suspend all sales in Russia,Consumer Discretionary,United States
Lexmark,suspend shipments to Russia,Information Technology,United States
LG Electronics,suspend all shipments to Russia,Information Technology,South Korea
Lindt-Sprungli,suspend operations in Russia,Consumer Staples,Switzerland
Little Caesar's,suspend Russian franchise support,Consumer Discretionary,United States
Live Nation Entertainment,stop business with Russia,Communication Services,United States
Lladró,suspended service and shipment to Russia. No new requests,Consumer Discretionary,Spain
Logitech,suspend shipments to Russia,Information Technology,Switzerland
Louis Dreyfus,suspend operations in Russia,Consumer Staples,Netherlands
Lumen,cut networks to Russia,Communication Services,United States
LUSH,suspend online sales & supply to Russia,Consumer Discretionary,United Kingdom
LVMH,suspend all operations in Russia,Consumer Discretionary,France
M&G,phased divestment of Russian assets,Financials,United Kingdom
Maersk,suspend all shipments to Russia,Industrials,Denmark
Magna,suspend Russian plants,Consumer Discretionary,Canada
Magna Steyr,suspend deliveries to Russia,Consumer Discretionary,Austria
MAN,"suspend delivery, supply of trucks, and sales to Russia",Industrials,Germany
Mango,suspend direct operations in Russia,Consumer Discretionary,Spain
Mannheimer Swartling,suspend all operations,Industrials,Sweden
Manolo Blahnik,suspend sales to Russia,Consumer Discretionary,United Kingdom
Marks & Spencer,suspend all shipments to Russia,Consumer Staples,United Kingdom
Marriott,suspend all Russian operations,Consumer Discretionary,United States
Marvell,suspend all sales to Russia in compliance with sanctions,Information Technology,United States
Mastercard,suspend operations in Russia,Information Technology,United States
Mattel,suspend shipments into Russia,Consumer Discretionary,United States
Mazda,suspend all shipments to Russia,Consumer Discretionary,Japan
McCain Foods,suspend operations in Russia,Consumer Staples,Canada
McCormick,suspend operations in Russia,Consumer Staples,United States
Meggit,cease all imports and exports with Russia,Industrials,United Kingdom
Mercedes-Benz,suspend all shipments to Russia,Consumer Discretionary,Germany
Meta,suspend Russian advertising,Communication Services,United States
Metsa,suspend operations at Russian mill,Materials,Finland
Metso Outotec,suspend all shipments to Russia,Industrials,Finland
Mettler Toledo,suspend all shipments to Russia,Health Care,United States
Michelin,suspended all operations in Russia,Consumer Discretionary,France
Micron,Suspend shipments to Russia according to sanctions,Information Technology,United States
Milk Hydrosan sp. z o.o.,suspended Russian contracts,Industrials,Poland
Mitsubishi Electric,stop all sales to Russia but reserve the right to return,Industrials,Japan
Mitsubishi Motors,suspended operations at Russian plant,Consumer Discretionary,Japan
Mobatime (Elekon),stopped activity and remotly stopped clock on Russian Academy of Sciences,Consumer Discretionary,Czech Republic
